ID,ProductID,ProductName,Category,VariantID,VariantName,Price,CustomerID,CustomerName,CustomerEmail,OrderID,OrderDate,Quantity,TotalAmount
1,1,Jeans,Books,1,Ivory,911.72,,,,,,,
2,1,Jeans,Books,2,Tan,742.51,,,,,,,
3,1,Jeans,Books,3,Linen,305.59,,,,,,,
4,2,Jeans,Books,4,SandyBrown,289.78,,,,,,,
5,2,Jeans,Books,5,LightSeaGreen,469.12,,,,,,,
6,2,Jeans,Books,6,DeepSkyBlue,370.97,,,,,,,
7,3,Blender,Groceries,7,Coral,905.12,,,,,,,
8,3,Blender,Groceries,8,IndianRed,502.33,,,,,,,
9,4,T-Shirt,Groceries,9,DarkCyan,574.25,,,,,,,
10,4,T-Shirt,Groceries,10,BurlyWood,617.81,,,,,,,
11,5,Desk Lamp,Clothing,11,NavajoWhite,469.81,,,,,,,
12,6,Apple,Groceries,12,DarkBlue,165.07,,,,,,,
13,6,Apple,Groceries,13,Purple,915.42,,,,,,,
14,7,Smartphone,Groceries,14,Magenta,831.15,,,,,,,
15,7,Smartphone,Groceries,15,NavajoWhite,335.67,,,,,,,
16,7,Smartphone,Groceries,16,Gold,374.39,,,,,,,
17,8,Laptop,Groceries,17,Silver,269.28,,,,,,,
18,8,Laptop,Groceries,18,NavajoWhite,519.8,,,,,,,
19,9,Laptop,Books,19,Linen,482.38,,,,,,,
20,9,Laptop,Books,20,MediumVioletRed,921.18,,,,,,,
21,9,Laptop,Books,21,PapayaWhip,618.06,,,,,,,
22,10,Apple,Clothing,22,SeaShell,815.08,,,,,,,
23,10,Apple,Clothing,23,LightCyan,874.79,,,,,,,
24,11,Novel,Electronics,24,PaleGreen,682.93,,,,,,,
25,11,Novel,Electronics,25,LightSteelBlue,384.11,,,,,,,
26,12,Novel,Home & Garden,26,Maroon,961.75,,,,,,,
27,12,Novel,Home & Garden,27,LightSteelBlue,203.98,,,,,,,
28,12,Novel,Home & Garden,28,Aqua,921.88,,,,,,,
29,13,Apple,Electronics,29,AntiqueWhite,650.8,,,,,,,
30,13,Apple,Electronics,30,LightGoldenRodYellow,647.95,,,,,,,
31,13,Apple,Electronics,31,Cyan,732.43,,,,,,,
32,14,Apple,Clothing,32,MintCream,887.27,,,,,,,
33,15,Sneakers,Home & Garden,33,LightYellow,875.98,,,,,,,
34,15,Sneakers,Home & Garden,34,Blue,772.91,,,,,,,
35,16,Smartphone,Groceries,35,MediumBlue,442.13,,,,,,,
36,16,Smartphone,Groceries,36,DarkBlue,891.2,,,,,,,
37,17,Sneakers,Home & Garden,37,Khaki,155.2,,,,,,,
38,17,Sneakers,Home & Garden,38,Turquoise,199.13,,,,,,,
39,17,Sneakers,Home & Garden,39,Brown,120.75,,,,,,,
40,18,Blender,Electronics,40,LightSeaGreen,771.93,,,,,,,
41,19,Jeans,Electronics,41,IndianRed,796.37,,,,,,,
42,20,Desk Lamp,Clothing,42,Silver,466.25,,,,,,,
43,21,Blender,Groceries,43,Salmon,596.76,,,,,,,
44,21,Blender,Groceries,44,Cyan,434.02,,,,,,,
45,22,Apple,Home & Garden,45,DodgerBlue,372.08,,,,,,,
46,22,Apple,Home & Garden,46,DimGray,331.81,,,,,,,
47,22,Apple,Home & Garden,47,Gold,668.56,,,,,,,
48,23,T-Shirt,Clothing,48,LightSeaGreen,521.23,,,,,,,
49,23,T-Shirt,Clothing,49,MediumTurquoise,571.39,,,,,,,
50,23,T-Shirt,Clothing,50,DarkOrchid,732.02,,,,,,,
51,24,Blender,Groceries,51,SlateGray,167.8,,,,,,,
52,25,Desk Lamp,Groceries,52,DarkSlateGray,797.4,,,,,,,
53,25,Desk Lamp,Groceries,53,Linen,454.45,,,,,,,
54,26,T-Shirt,Clothing,54,GreenYellow,576.4,,,,,,,
55,26,T-Shirt,Clothing,55,Aquamarine,169.89,,,,,,,
56,27,Smartphone,Home & Garden,56,DodgerBlue,546.37,,,,,,,
57,27,Smartphone,Home & Garden,57,PaleVioletRed,197.25,,,,,,,
58,28,Sneakers,Books,58,Thistle,645.23,,,,,,,
59,28,Sneakers,Books,59,Lime,670.17,,,,,,,
60,29,Sneakers,Groceries,60,MintCream,28.38,,,,,,,
61,29,Sneakers,Groceries,61,Turquoise,963.93,,,,,,,
62,29,Sneakers,Groceries,62,SlateGray,548.92,,,,,,,
63,30,Laptop,Electronics,63,LightBlue,893.86,,,,,,,
64,30,Laptop,Electronics,64,Blue,980.23,,,,,,,
65,31,Apple,Books,65,MintCream,55.63,,,,,,,
66,31,Apple,Books,66,DarkSlateBlue,802.14,,,,,,,
67,32,Desk Lamp,Clothing,67,AliceBlue,361.8,,,,,,,
68,32,Desk Lamp,Clothing,68,DarkGoldenRod,768.16,,,,,,,
69,32,Desk Lamp,Clothing,69,HoneyDew,410.58,,,,,,,
70,33,Laptop,Books,70,LightYellow,42.89,,,,,,,
71,33,Laptop,Books,71,Tan,299.59,,,,,,,
72,34,Headphones,Clothing,72,CornflowerBlue,601.33,,,,,,,
73,34,Headphones,Clothing,73,DarkGreen,774.81,,,,,,,
74,34,Headphones,Clothing,74,LightSalmon,373.14,,,,,,,
75,35,Headphones,Home & Garden,75,DimGray,491.84,,,,,,,
76,35,Headphones,Home & Garden,76,Blue,146.8,,,,,,,
77,36,Desk Lamp,Books,77,MediumSpringGreen,998.12,,,,,,,
78,36,Desk Lamp,Books,78,Chartreuse,670.21,,,,,,,
79,36,Desk Lamp,Books,79,Chocolate,499.63,,,,,,,
80,37,Headphones,Groceries,80,LightCoral,348.27,,,,,,,
81,37,Headphones,Groceries,81,Moccasin,738.42,,,,,,,
82,37,Headphones,Groceries,82,SeaGreen,909.73,,,,,,,
83,38,Desk Lamp,Electronics,83,Beige,22.47,,,,,,,
84,39,Sneakers,Home & Garden,84,DimGray,820.09,,,,,,,
85,39,Sneakers,Home & Garden,85,LightSeaGreen,393.25,,,,,,,
86,39,Sneakers,Home & Garden,86,MediumBlue,559.16,,,,,,,
87,40,Smartphone,Electronics,87,NavajoWhite,24.6,,,,,,,
88,40,Smartphone,Electronics,88,LimeGreen,81.46,,,,,,,
89,41,Apple,Electronics,89,White,44.14,,,,,,,
90,41,Apple,Electronics,90,DarkOrchid,770.18,,,,,,,
91,41,Apple,Electronics,91,Beige,702.67,,,,,,,
92,42,Jeans,Clothing,92,DarkSlateBlue,962.56,,,,,,,
93,42,Jeans,Clothing,93,Chartreuse,37.39,,,,,,,
94,43,Smartphone,Electronics,94,GhostWhite,468.94,,,,,,,
95,43,Smartphone,Electronics,95,DodgerBlue,555.65,,,,,,,
96,43,Smartphone,Electronics,96,Moccasin,464.24,,,,,,,
97,44,Blender,Groceries,97,DarkRed,299.13,,,,,,,
98,44,Blender,Groceries,98,Brown,429.78,,,,,,,
99,44,Blender,Groceries,99,Cornsilk,636.03,,,,,,,
100,45,Apple,Electronics,100,LightCoral,255.53,,,,,,,
101,45,Apple,Electronics,101,LightGray,561.79,,,,,,,
102,46,Laptop,Books,102,DarkOrange,442.73,,,,,,,
103,46,Laptop,Books,103,Cornsilk,259.08,,,,,,,
104,47,Sneakers,Groceries,104,Aqua,345.41,,,,,,,
105,47,Sneakers,Groceries,105,DarkOrange,604.84,,,,,,,
106,47,Sneakers,Groceries,106,LimeGreen,517.99,,,,,,,
107,48,Apple,Books,107,Linen,345.9,,,,,,,
108,49,T-Shirt,Electronics,108,LightCoral,504.97,,,,,,,
109,50,Apple,Groceries,109,AliceBlue,800.85,,,,,,,
110,,,,,,,1,Christopher Wood,johnsonkevin@example.com,,,,
111,,,,,,,2,Melissa Mayer,michael77@example.org,,,,
112,,,,,,,3,Stephanie Estrada,jenniferduffy@example.org,,,,
113,,,,,,,4,Terry Morgan,moorelinda@example.org,,,,
114,,,,,,,5,Stephanie Evans,alexanderhughes@example.net,,,,
115,,,,,,,6,Nicholas Smith,xavier85@example.org,,,,
116,,,,,,,7,Barbara Walker,patrickkennedy@example.org,,,,
117,,,,,,,8,Joseph Miller,corey47@example.com,,,,
118,,,,,,,9,Dana Brown,michael28@example.com,,,,
119,,,,,,,10,Anthony Rowland,zneal@example.com,,,,
120,,,,,,,11,Ms. Barbara Gibson,parkermichael@example.org,,,,
121,,,,,,,12,Brian Henderson,wwest@example.org,,,,
122,,,,,,,13,Joshua Long,jmiller@example.net,,,,
123,,,,,,,14,Travis Weaver,tami88@example.org,,,,
124,,,,,,,15,Stacey Garcia,fmontgomery@example.net,,,,
125,,,,,,,16,Katherine Brown,vanessa31@example.com,,,,
126,,,,,,,17,Chloe West,jeffrey13@example.com,,,,
127,,,,,,,18,Amy Lopez,mshelton@example.com,,,,
128,,,,,,,19,Mary Deleon,parkerbrian@example.net,,,,
129,,,,,,,20,Ricky Johnson,sharonjones@example.org,,,,
130,,,,,,,21,Lisa Garrison,paigescott@example.com,,,,
131,,,,,,,22,Karen Campbell,smithjacqueline@example.net,,,,
132,,,,,,,23,Heather Strickland,debra92@example.org,,,,
133,,,,,,,24,Scott Thompson,jessicaavery@example.org,,,,
134,,,,,,,25,Allison Garcia,jacqueline43@example.com,,,,
135,,,,,,,26,Mitchell Gonzalez,paul57@example.net,,,,
136,,,,,,,27,Caleb Flores,aaron91@example.net,,,,
137,,,,,,,28,Bruce Carr,davistravis@example.net,,,,
138,,,,,,,29,Katherine Lopez,keithfrederick@example.org,,,,
139,,,,,,,30,Dan Cunningham,acarpenter@example.org,,,,
140,,,,,,,31,Alexander Gonzalez,aadams@example.com,,,,
141,,,,,,,32,Carla Snyder,victoria55@example.com,,,,
142,,,,,,,33,Martin Knight,adamgonzalez@example.org,,,,
143,,,,,,,34,James Harris,johnstonaudrey@example.net,,,,
144,,,,,,,35,Patrick Campos,dennispatricia@example.org,,,,
145,,,,,,,36,Sarah Mays,christophercarson@example.net,,,,
146,,,,,,,37,Monique Patrick,ywilliamson@example.net,,,,
147,,,,,,,38,Todd Hernandez DVM,robertwilliams@example.org,,,,
148,,,,,,,39,Mrs. Alicia Powell,bernard60@example.org,,,,
149,,,,,,,40,Jacob Wilkerson,deborahnicholson@example.net,,,,
